	Unnamed: 0	InChI_keys	SMILES_strings	Molecular_formulas	AlkEthOH_ID
912	590	QPXRFSHEEWSCOM-XVMARJQXSA-N	C[C@@H](C[C@@](C)([C@@H](C)O)O)O	C7H16O3	AlkEthOH_c603
911	862	GBYURMCMUZNBDT-CBAPKCEASA-N	C[C@@H](O)O[C@@](C)(CC(C)(C)C)O	C9H20O3	AlkEthOH_c844
910	1152	QFEUUWWSAIFNEP-HCWXCVPCSA-N	C[C@@H]([C@](C)(O)O[C@@H](C)O)O	C6H14O4	AlkEthOH_c88
909	331	CGBXTCWYLFPGQF-DSYKOEDSSA-N	C[C@H](C[C@](C)(O)O[C@@H](C)O)O	C7H16O4	AlkEthOH_c653
908	1876	SRPWOVBZOUYCFO-CBAPKCEASA-N	C[C@@H](C[C@@](C)(C(C)(C)C)O)O	C9H20O2	AlkEthOH_c600
907	284	TXNNIRKCXXNFSU-POYBYMJQSA-N	C[C@@H](O)O[C@](C)(CC(C)(C)O)O	C8H18O4	AlkEthOH_c845
906	1336	MRIOPOUKNOHBSJ-HCWXCVPCSA-N	C[C@@H](C[C@H](O)O[C@@H](C)O)O	C6H14O4	AlkEthOH_c699
905	520	WQIZGUCBHBOKCG-POYBYMJQSA-N	C[C@@H](C[C@](C)(O)OC(C)(C)O)O	C8H18O4	AlkEthOH_c651
904	1750	RFBUPPIIPNYPOP-SCZZXKLOSA-N	C[C@H](C[C@@](C)(CC(C)(C)C)O)O	C10H22O2	AlkEthOH_c635
903	1137	HISXTYZCEGGYAZ-ACZMJKKPSA-N	C[C@@H](C[C@H](C)O[C@@H](C)O)O	C7H16O3	AlkEthOH_c674
902	19	JADDUUPGTVQKKQ-XPUUQOCRSA-N	C[C@@H]([C@@](C)(C(C)(C)C)O)O	C8H18O2	AlkEthOH_c44
901	1098	IESUJJOZFYEZBD-YUMQZZPRSA-N	C[C@@H](CC(C)(C)C)O[C@@H](C)O	C9H20O2	AlkEthOH_c613
900	1939	AWMKIQRQXGURIU-PBXRRBTRSA-N	C[C@H]([C@@H](C)O[C@@H](C)O)O	C6H14O3	AlkEthOH_c102
899	107	PMORVUNYTOZCSE-XVMARJQXSA-N	C[C@@H](C[C@@H](C)O)[C@H](C)O	C7H16O2	AlkEthOH_c661
898	1360	SOEZICCGJZJVJN-WHFBIAKZSA-N	C[C@@H](O)OC(C)(O)O[C@@H](C)O	C6H14O5	AlkEthOH_c856
897	1214	KECXGDKJBHLGRU-VDTYLAMSSA-N	C[C@H](O)O[C@](C)(O)OC(C)(C)O	C7H16O5	AlkEthOH_c854
896	1083	PTGOMWNUZAKCRS-VXNVDRBHSA-N	C[C@H](C[C@](C)(O)OC(C)(C)C)O	C9H20O3	AlkEthOH_c650
895	255	PUXPSUBLYDOJNF-ZLUOBGJFSA-N	C[C@@H](C[C@@H]([C@H](C)O)O)O	C6H14O3	AlkEthOH_c598
894	551	QZMWHOONBZWJIL-SVRRBLITSA-N	C[C@H](O)O[C@](C)(O)OC(C)(C)C	C8H18O4	AlkEthOH_c853
