;bond_length_average;bond_length_variance;bond_length_variance_variance;k_values;length_values
0;0.932201123973;0.000771787536309;1.65966599185e-10;820.0;0.93
1;1.39261849913;0.00143470622829;5.280334038e-10;420.0;1.39
2;0.79383426728;0.000992654297121;3.23136118034e-10;620.0;0.79
3;1.33205059499;0.00064728153162;1.24963952985e-10;980.0;1.33
4;0.836543203549;0.0014504812442;7.74940644186e-10;420.0;0.83
5;1.39128980074;0.000681040414908;1.52093899227e-10;940.0;1.39
6;0.872067428761;0.000642620845006;1.32321678158e-10;980.0;0.87
7;0.975592965786;0.00152215852658;8.35693525446e-10;380.0;0.97
8;0.99258812979;0.00103336858641;3.39731150274e-10;600.0;0.99
9;1.09173013808;0.000635609377048;1.20634801052e-10;980.0;1.09
10;0.942506386914;0.000896338348591;2.46916479261e-10;700.0;0.94
11;1.27206987708;0.000937391120658;2.36263150674e-10;680.0;1.27
12;1.3913981348;0.000727768850226;1.70588222919e-10;920.0;1.39
13;1.03424485647;0.00162566405181;7.15247214542e-10;380.0;1.03
14;0.797107645637;0.00149062944236;7.57239127117e-10;400.0;0.79
15;1.09231031831;0.000847804660336;1.91581128114e-10;720.0;1.09
16;0.97168449796;0.000742080619963;1.90952684804e-10;860.0;0.97
17;0.912508416375;0.000648890669786;1.23134428306e-10;980.0;0.91
18;1.24318196864;0.0010709270196;3.87979352924e-10;580.0;1.24
19;0.945449919737;0.00154141588238;7.67933910205e-10;400.0;0.94
20;1.23367767088;0.00153369571934;7.01453633206e-10;380.0;1.23
21;1.27231300227;0.00109660786756;3.82060859842e-10;560.0;1.27
22;1.24219970049;0.000882260972781;2.58404414286e-10;700.0;1.24
23;1.21335780812;0.00122476045437;4.39071202536e-10;500.0;1.21
24;1.0328190792;0.000974531664096;3.16979295936e-10;640.0;1.03
25;1.39369934125;0.00156506013622;7.02406887744e-10;400.0;1.39
26;1.33200221729;0.000993767157845;5.34236368368e-10;620.0;1.33
27;1.3913813603;0.000704505930463;1.37792505521e-10;880.0;1.39
28;0.893005857296;0.000784052002654;2.08549671246e-10;780.0;0.89
29;1.39314796194;0.00159895256006;5.94226192689e-10;380.0;1.39
30;1.39204522362;0.000649326343137;1.10502586935e-10;960.0;1.39
31;1.09250759585;0.00107388239732;3.21487876743e-10;560.0;1.09
32;0.792885527862;0.000782563659077;1.8089121647e-10;800.0;0.79
33;1.35142549754;0.000912398413302;2.84111368563e-10;680.0;1.35
34;1.11439628427;0.00153721177519;6.81330346571e-10;400.0;1.11
35;1.39064249522;0.000940538746974;3.11115145704e-10;640.0;1.39
36;0.875128355951;0.00163411995952;9.43182793653e-10;380.0;0.87
37;0.934367701781;0.00121040586214;4.28053124542e-10;520.0;0.93
38;0.942194873779;0.000656521375027;1.15443290523e-10;940.0;0.94
39;1.01207112577;0.000712139246415;1.62819179664e-10;900.0;1.01
40;1.3917298356;0.000878625030244;2.62168351016e-10;720.0;1.39
41;1.21107707751;0.000640623280997;1.55331693759e-10;980.0;1.21
42;1.24347408215;0.00142767901419;6.77783340164e-10;420.0;1.24
43;0.973180792904;0.00113152382975;3.49230248518e-10;560.0;0.97
44;1.09162091115;0.000672294326277;1.55877641826e-10;980.0;1.09
45;1.15184100797;0.000819878785785;1.88628304833e-10;740.0;1.15
46;1.0931899696;0.00103453745579;3.43866721335e-10;600.0;1.09
47;1.01317471352;0.000899393152706;2.97426659379e-10;680.0;1.01
48;1.07127520225;0.000638615846115;1.24190355244e-10;980.0;1.07
49;0.914208964287;0.00123093029743;4.94359254246e-10;500.0;0.91
50;1.29113133834;0.000661960266356;1.3393289891e-10;980.0;1.29
51;1.23214689821;0.000921027089344;2.20077790155e-10;680.0;1.23
52;1.31140278679;0.00072350023409;1.43351085793e-10;900.0;1.31
53;1.23159137184;0.000677456116618;1.52227962943e-10;980.0;1.23
54;0.793499240751;0.000901417591396;2.8672632219e-10;680.0;0.79
55;1.17426379864;0.00155249840021;7.20632744548e-10;380.0;1.17
56;1.39397370046;0.00159839575019;7.80680228377e-10;380.0;1.39
57;1.24207087216;0.000926959814027;3.02155248993e-10;680.0;1.24
58;0.943010598346;0.00092121962078;2.78005037681e-10;680.0;0.94
59;0.942378570986;0.000757179725716;2.00078447221e-10;800.0;0.94
60;1.09098582257;0.000649815970262;1.40926884214e-10;960.0;1.09
61;1.1318310983;0.000660475579662;1.51627897028e-10;980.0;1.13
62;0.793921087725;0.000901146379381;2.57519021259e-10;680.0;0.79
63;0.943131073251;0.00116369538195;4.15394049336e-10;540.0;0.94
64;0.79366883536;0.000907457083707;2.59239624575e-10;680.0;0.79
65;1.09422737817;0.00154708834923;6.16406069154e-10;380.0;1.09
66;0.794378122501;0.000965942703014;2.74699797876e-10;640.0;0.79
67;0.936325478533;0.00163383094116;7.41909855847e-10;380.0;0.93
68;0.792172921473;0.000644104021511;1.4988714141e-10;980.0;0.79
69;0.973223348505;0.000915998201003;2.82336281802e-10;680.0;0.97
70;0.793252096141;0.000788475204978;1.68450758406e-10;760.0;0.79
71;0.815550628753;0.00154464388963;6.87697108528e-10;400.0;0.81
72;1.09144904871;0.000719359365086;1.71230311936e-10;900.0;1.09
73;1.33058399669;0.000705822450241;1.45383014892e-10;940.0;1.33
74;1.24144330637;0.000704664655421;1.36812800981e-10;880.0;1.24
75;1.39129710067;0.00072640856258;1.60847056474e-10;860.0;1.39
76;0.992869139346;0.00110276806227;2.91689201441e-10;580.0;0.99
77;0.941561914047;0.000684389426206;1.44026385719e-10;980.0;0.94
78;1.09314022838;0.000794437438251;2.34130608771e-10;780.0;1.09
79;1.24163605683;0.000656264968736;1.33762437767e-10;960.0;1.24
80;1.15452327042;0.00156955362044;8.47833504095e-10;380.0;1.15
81;0.942609788461;0.000693332383677;1.27886225921e-10;880.0;0.94
82;1.09350464973;0.001389841689;5.97250298449e-10;440.0;1.09
83;1.39159360103;0.000639864687007;1.18979252732e-10;980.0;1.39
84;1.03249649627;0.000882070707089;2.1413585547e-10;680.0;1.03
85;0.913005965468;0.000914688377177;2.50772211495e-10;680.0;0.91
86;1.25229468262;0.000898475789291;2.56420775081e-10;680.0;1.25
87;1.09239663665;0.00115912274556;3.92555616125e-10;520.0;1.09
88;0.793531342505;0.00071429495145;1.66118733052e-10;880.0;0.79
89;0.793930544503;0.000923142192306;2.54683107308e-10;660.0;0.79
90;0.943065426173;0.00100335142385;3.146691927e-10;620.0;0.94
91;1.24157235805;0.000811747734595;2.23183936643e-10;780.0;1.24
92;1.07193086146;0.000903232320107;2.5515650389e-10;680.0;1.07
93;1.29173418378;0.000714340686488;1.8052212617e-10;900.0;1.29
94;1.09217113451;0.000833861225734;2.26122155577e-10;740.0;1.09
95;0.853342911659;0.000892521701452;2.73643180358e-10;680.0;0.85
96;1.39134919119;0.000660550208441;1.22494377333e-10;980.0;1.39
97;1.27135592318;0.000736372220154;2.01430129561e-10;860.0;1.27
98;0.944550824824;0.0010825294348;3.24820146307e-10;560.0;0.94
99;1.24298927186;0.00113300113735;4.49686400126e-10;540.0;1.24
100;0.793966310404;0.000911013085968;3.11387019235e-10;700.0;0.79
101;1.39212503766;0.00105226194088;3.26738039086e-10;600.0;1.39
102;1.09183338331;0.000793573648345;2.26130957629e-10;800.0;1.09
103;1.39259899167;0.00109325453483;3.77274036914e-10;560.0;1.39
104;0.945871601963;0.0016408024612;7.52329779978e-10;380.0;0.94
105;0.952492103842;0.00075018833255;1.53937779593e-10;840.0;0.95
106;1.19180791781;0.000927249893678;2.6704959165e-10;680.0;1.19
107;1.24204138622;0.000819753265804;2.25901716751e-10;740.0;1.24
108;1.19171154091;0.000826063940338;2.24967697775e-10;780.0;1.19
109;0.971411799085;0.000710544743966;1.50047209057e-10;880.0;0.97
110;1.35221000481;0.000941299909251;2.76553714346e-10;660.0;1.35
111;1.19213186536;0.000669114014337;1.42613162619e-10;980.0;1.19
112;1.24214390476;0.000840094897297;2.20398007028e-10;760.0;1.24
113;0.794741170576;0.00114134721373;3.98053862548e-10;560.0;0.79
114;1.11177169163;0.000933726323208;5.50697607754e-10;680.0;1.11
115;1.21176735191;0.000916250749383;2.99771634302e-10;680.0;1.21
116;1.39212005967;0.00103594045914;4.22640939175e-10;620.0;1.39
117;1.2418669682;0.00103127532998;3.20768742864e-10;600.0;1.24
118;1.09222449878;0.000869279503532;6.743836203e-10;680.0;1.09
119;0.932135484001;0.000641010731855;1.32268667407e-10;980.0;0.93
120;1.24146891853;0.00123975954515;4.42848520604e-10;480.0;1.24
