	InChI_keys	SMILES_strings	Molecular_formulas	AlkEthOH_ID
0	UFAMZGHPUJMCDQ-MRVPVSSYSA-N	C[C@@H]1CCOCCCCO1	C8H16O2	AlkEthOH_r1029
1	IHPLUBLGATVLLB-RNFRBKRXSA-N	C[C@H]([C@@H](C)OC(C)(C)C)O	C8H18O2	AlkEthOH_c99
2	AXINNNJHLJWMTC-SSDOTTSWSA-N	CC(C)[C@H](C(C)(C)C)O	C8H18O	AlkEthOH_c259
3	DCYPPXGEIQTVPI-RNFRBKRXSA-N	C1CC[C@H]([C@@H](CC1)O)O	C7H14O2	AlkEthOH_r36
4	NNPPMTNAJDCUHE-UHFFFAOYSA-N	CC(C)C	C4H10	AlkEthOH_c258
5	DRDIKFKETQTPKC-UHFFFAOYSA-N	C1COCC(COC1)O	C6H12O3	AlkEthOH_r138
6	BMRFWTSBVFCPFV-SECBINFHSA-N	C[C@@]1(CCCOCC(O1)(C)C)O	C9H18O3	AlkEthOH_r615
7	GKMMJUPCJDAORL-UHFFFAOYSA-N	CC1(CCCCCCC(C1)(C)C)C	C13H26	AlkEthOH_r361
8	HXDWMTYIWJLRJA-UHFFFAOYSA-N	CCOC(C)(C)OC	C6H14O2	AlkEthOH_c1193
9	OJXXLCISRMWUKG-PHDIDXHHSA-N	C[C@@H]1[C@@H](CCOCO1)O	C6H12O3	AlkEthOH_r753
10	HFEBTQGILHMNHE-FPFOFBBKSA-N	C[C@H](O)OC(C)O[C@@H](C)O	C6H14O4	AlkEthOH_c864
11	QJQYQEZUSNLZEP-UHFFFAOYSA-N	CC1(CCCCCC1(C)C)C	C11H22	AlkEthOH_r354
12	IWQLUVJZGOZOHZ-BQBZGAKWSA-N	C[C@H]1CCCCO[C@@H]1O	C7H14O2	AlkEthOH_r937
13	LMTDPKYREUZYAO-UHFFFAOYSA-N	C1COCCOC1	C5H10O2	AlkEthOH_r151
14	KLJJVZOWIPEMQB-SECBINFHSA-N	CC1(CCCCCC[C@@H](O1)O)C	C10H20O2	AlkEthOH_r369
15	RPMYTAWDAZFCBO-SSDOTTSWSA-N	CCC[C@](C)(CCO)O	C7H16O2	AlkEthOH_c1057
16	ROJOZNKDYCTMQA-JTQLQIEISA-N	C[C@]1(CCCCCOC(O1)(C)C)O	C10H20O3	AlkEthOH_r693
17	KJGRQFRVQKIODS-RQJHMYQMSA-N	C[C@H](C[C@H](C)O)COC	C7H16O2	AlkEthOH_c669
18	PAKYNHSWMGNYQB-QMMMGPOBSA-N	C[C@]1(CCCC(O1)(C)C)O	C8H16O2	AlkEthOH_r316
19	JADDUUPGTVQKKQ-XPUUQOCRSA-N	C[C@@H]([C@@](C)(C(C)(C)C)O)O	C8H18O2	AlkEthOH_c44
20	IPKLSFJMXBZCFO-UHFFFAOYSA-N	CC1(COCCCCO1)C	C8H16O2	AlkEthOH_r629
21	SQNRAWDGGCHKFN-UHFFFAOYSA-N	CCOCCC(C)(C)C	C8H18O	AlkEthOH_c1273
22	GAYSHBPZDXVLOK-ZCFIWIBFSA-N	C[C@H](C(C)(C)C)OCO	C7H16O2	AlkEthOH_c56
23	KZKITLCVBZNMQZ-LURJTMIESA-N	C[C@@H](OCO)OC(C)C	C6H14O3	AlkEthOH_c562
24	YVYDNEVLUDTJQF-YFKPBYRVSA-N	CC[C@@H](O)OC(C)(C)O	C6H14O3	AlkEthOH_c1001
25	FHYXNMWUQCSBGP-WDSKDSINSA-N	C1C[C@H](O[C@@H](COC1)O)O	C6H12O4	AlkEthOH_r25
26	HIYKOZFIVZIBFO-ZCFIWIBFSA-N	CC[C@](C)(CCO)O	C6H14O2	AlkEthOH_c948
27	UPQBAPMBTTWGMM-UHFFFAOYSA-N	CC(C)(CC(C)(C)O)CO	C8H18O2	AlkEthOH_c192
28	ARZLUCYKIWYSHR-UHFFFAOYSA-N	C(O)OCO	C2H6O3	AlkEthOH_c37
29	FHAYGTKKIPNGJX-NSHDSACASA-N	C[C@@]1(CCCCCOC(C1)(C)C)O	C11H22O2	AlkEthOH_r223
30	LRHPLDYGYMQRHN-UHFFFAOYSA-N	CCCCO	C4H10O	AlkEthOH_c1137
31	YTBQUXBYIBRJNI-UHFFFAOYSA-N	CCCC(C)(C)OCC	C8H18O	AlkEthOH_c1047
32	OGVDIWCTMVYQPB-SECBINFHSA-N	C[C@@]1(COCCCOC(O1)(C)C)O	C9H18O4	AlkEthOH_r713
33	UZYNWLYNBNVAEX-MRVPVSSYSA-N	C[C@@H]1COCCCOC(O1)(C)C	C9H18O3	AlkEthOH_r1084
34	DJUHMFKWPLANDE-UHFFFAOYSA-N	CC1(CCCCCOCC1)C	C10H20O	AlkEthOH_r407
35	YVQBOKCDPCUWSP-UHFFFAOYSA-N	C1CCCCOCCC1	C8H16O	AlkEthOH_r64
36	VJPPQXAHFFSESV-ZCFIWIBFSA-N	C1COCCOC[C@@H]1O	C6H12O3	AlkEthOH_r153
37	FPQOQDFWCJXVKF-BQBZGAKWSA-N	C[C@H]1CCO[C@H](C1)C	C7H14O	AlkEthOH_r993
38	UXBRJZGNEIEYSS-ZETCQYMHSA-N	C[C@@H](O)OC(C)(C)CC(C)(C)O	C9H20O3	AlkEthOH_c830
39	KOWWPSSAXLGXIZ-PHDIDXHHSA-N	C[C@@H]1[C@H](OCCO1)C	C6H12O2	AlkEthOH_r769
40	NSAJHVWKTKWZRQ-RNFRBKRXSA-N	CCO[C@](C)(C[C@@H](C)O)O	C7H16O3	AlkEthOH_c1206
41	XLYOFNOQVPJJNP-UHFFFAOYSA-N	O	H2O	AlkEthOH_c1302
42	GYNNXHKOJHMOHS-UHFFFAOYSA-N	CC1CCCCCC1	C8H16	AlkEthOH_r884
43	FJUAQEXWVUOGDL-WHFBIAKZSA-N	C[C@@H](O)O[C@@](C)(O)OCO	C5H12O5	AlkEthOH_c858
44	QMGLMRPHOITLSN-NTSWFWBYSA-N	C[C@H]1C[C@H](OC1)C	C6H12O	AlkEthOH_r814
45	ZKGGSMVXXGEYTN-QMMMGPOBSA-N	CC(C)C[C@@](C)(COC)O	C8H18O2	AlkEthOH_c398
46	PEYLKQOFZHGCCJ-UHFFFAOYSA-N	CC1(CCCCOCC1)C	C9H18O	AlkEthOH_r445
47	YNKYZXUUHVQITD-SCSAIBSYSA-N	CC1(CO[C@H](O1)O)C	C5H10O3	AlkEthOH_r600
48	POLCUAVZOMRGSN-UHFFFAOYSA-N	CCCOCCC	C6H14O	AlkEthOH_c1158
49	GUMULFRCHLJNDY-UHFFFAOYSA-N	CC(C)(C)CC(C)(C)C	C9H20	AlkEthOH_c154
