#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1000,148.934396545,1912.07940286,0.0124738315839
2000,118.886227955,832.672609488,0.0124738315839
3000,86.6319023417,555.091330333,0.0124738315839
4000,57.963454189,446.084962223,0.0124738315839
5000,72.4589253595,270.843929273,0.0124738315839
6000,63.3347474218,260.763180443,0.0124738315839
7000,75.1276425331,265.709997372,0.0124738315839
8000,60.5852154675,339.465012827,0.0124738315839
9000,65.4883428426,338.70595525,0.0124738315839
10000,47.5902475444,448.375856771,0.0124738315839
11000,74.0920702103,281.360220753,0.0124738315839
12000,65.6412872775,258.896286288,0.0124738315839
13000,59.4910498643,370.248535426,0.0124738315839
14000,54.5465201878,291.242798031,0.0124738315839
15000,53.9687368515,475.315318028,0.0124738315839
16000,72.327697758,376.331976865,0.0124738315839
17000,81.8114819805,295.721472786,0.0124738315839
18000,84.5668655652,339.606886055,0.0124738315839
19000,53.8851630459,262.297321413,0.0124738315839
20000,58.7917142821,337.555803205,0.0124738315839
21000,66.1639609661,451.282557846,0.0124738315839
22000,51.9384490957,374.768029742,0.0124738315839
23000,52.8097659609,349.965480361,0.0124738315839
24000,50.1322647451,439.181803463,0.0124738315839
25000,58.3799127641,379.225885794,0.0124738315839
26000,49.5034354216,366.699807685,0.0124738315839
27000,63.2109306541,279.316332921,0.0124738315839
28000,80.2683220379,261.551647935,0.0124738315839
29000,59.5269991864,287.478220051,0.0124738315839
30000,56.60723613,481.211522335,0.0124738315839
31000,70.0358827186,330.218494933,0.0124738315839
32000,76.3762458847,340.587409205,0.0124738315839
33000,53.2215757955,355.784564275,0.0124738315839
34000,61.9427216816,344.823260816,0.0124738315839
35000,56.9136774595,333.831973768,0.0124738315839
36000,46.5886605954,251.606564445,0.0124738315839
37000,56.8482248493,331.256190296,0.0124738315839
38000,44.5916422146,233.429910056,0.0124738315839
39000,53.3585619923,175.187297699,0.0124738315839
40000,42.9976637914,325.067679053,0.0124738315839
41000,58.3297355168,232.123032802,0.0124738315839
42000,73.1128232141,160.971133575,0.0124738315839
43000,62.7681498618,314.920378571,0.0124738315839
44000,65.2956074414,530.326192405,0.0124738315839
