#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1000,22.6817031022,196.412708303,0.0124738315839
2000,24.2886820652,301.44912125,0.0124738315839
3000,39.5775622845,344.439075063,0.0124738315839
4000,38.863038234,317.691052136,0.0124738315839
5000,41.2169105452,321.219064795,0.0124738315839
6000,57.6427085463,531.12404976,0.0124738315839
7000,73.3113566023,306.096326659,0.0124738315839
8000,45.822156013,396.432375441,0.0124738315839
9000,38.3855848552,318.427959153,0.0124738315839
10000,44.580299586,270.048201551,0.0124738315839
11000,41.0364267286,369.84603495,0.0124738315839
12000,39.678544393,233.430052677,0.0124738315839
13000,48.414258675,337.081088646,0.0124738315839
14000,39.9922272638,266.196332093,0.0124738315839
15000,21.9938549394,193.782588791,0.0124738315839
16000,30.8674276005,390.200669339,0.0124738315839
17000,29.0425438715,277.844034332,0.0124738315839
18000,25.8502528923,295.908626718,0.0124738315839
19000,27.1215808538,281.090844123,0.0124738315839
20000,30.2670756118,241.020266418,0.0124738315839
21000,41.8530881579,256.321285084,0.0124738315839
22000,37.6526383055,338.449839162,0.0124738315839
23000,47.2068401072,300.047630002,0.0124738315839
24000,39.8322775208,216.859582151,0.0124738315839
25000,22.4848602721,257.342980624,0.0124738315839
26000,25.7988172304,187.664457365,0.0124738315839
27000,43.1795248985,200.768066529,0.0124738315839
28000,24.73379165,212.62885609,0.0124738315839
29000,21.5362708781,268.807111847,0.0124738315839
30000,31.0711123957,224.691982302,0.0124738315839
31000,18.8003515564,159.44913171,0.0124738315839
32000,29.8197753805,199.71490541,0.0124738315839
33000,37.6084250871,173.765420268,0.0124738315839
34000,30.6305472868,200.179393821,0.0124738315839
35000,25.0449998261,391.787423949,0.0124738315839
36000,31.5606651684,213.442430566,0.0124738315839
37000,30.7253746444,283.496577379,0.0124738315839
38000,33.8329661218,234.512051381,0.0124738315839
39000,37.218416515,309.689779645,0.0124738315839
40000,40.8022671512,349.273721516,0.0124738315839
41000,44.4403925486,352.097927415,0.0124738315839
42000,31.9045156597,303.885711635,0.0124738315839
43000,31.5165920153,368.46823799,0.0124738315839
44000,17.5093095159,471.121651,0.0124738315839
45000,43.3710763531,335.673689335,0.0124738315839
46000,32.0571616625,323.347051717,0.0124738315839
47000,24.0570279404,202.66553686,0.0124738315839
48000,23.5266540303,213.670892379,0.0124738315839
49000,17.047205631,318.513494751,0.0124738315839
50000,27.5970901066,261.883085035,0.0124738315839
51000,38.7379717026,324.092283199,0.0124738315839
52000,33.3053273225,340.48495254,0.0124738315839
53000,40.5131267997,416.717404282,0.0124738315839
54000,44.2485700419,310.24428975,0.0124738315839
55000,39.0393472622,190.321636382,0.0124738315839
56000,31.985232904,271.413171817,0.0124738315839
57000,52.4517625028,394.247381439,0.0124738315839
58000,30.2139195363,427.005481488,0.0124738315839
59000,31.8992525982,335.142244775,0.0124738315839
60000,54.6609260965,311.56875389,0.0124738315839
61000,33.8296699573,339.289822323,0.0124738315839
62000,38.0590937526,303.636965087,0.0124738315839
63000,39.8618683304,340.697481626,0.0124738315839
64000,34.0581903959,310.698336693,0.0124738315839
65000,30.8517558132,376.186956138,0.0124738315839
66000,32.9703394893,236.818747128,0.0124738315839
67000,35.2824708713,201.314417148,0.0124738315839
68000,37.1838516776,212.626158272,0.0124738315839
69000,30.5164878439,301.893512687,0.0124738315839
70000,39.4745556577,191.791819814,0.0124738315839
71000,40.0168845255,237.121510842,0.0124738315839
72000,35.5109950425,319.02402326,0.0124738315839
73000,35.8889573592,422.517289036,0.0124738315839
74000,46.5514916424,229.786690541,0.0124738315839
75000,41.4120412979,192.581167681,0.0124738315839
76000,28.0280906415,319.036530827,0.0124738315839
77000,35.0449853322,293.529011406,0.0124738315839
78000,30.5651326838,411.617601173,0.0124738315839
79000,38.7601932027,314.452504822,0.0124738315839
80000,22.5862513366,269.821737923,0.0124738315839
81000,25.4923565707,361.913383674,0.0124738315839
82000,11.3063073842,426.858819164,0.0124738315839
83000,43.5061061775,309.40975254,0.0124738315839
84000,23.6953948682,354.2161985,0.0124738315839
85000,37.4545610861,484.01058737,0.0124738315839
86000,37.9331000916,610.418859421,0.0124738315839
87000,56.6696483849,388.447354211,0.0124738315839
88000,52.8327684269,367.056451055,0.0124738315839
89000,46.888361695,312.3649321,0.0124738315839
90000,57.3129424056,219.923801875,0.0124738315839
91000,41.5098619769,354.467991412,0.0124738315839
92000,28.8476075593,484.674780617,0.0124738315839
93000,52.8557066168,181.281802354,0.0124738315839
94000,44.6778392688,497.981507016,0.0124738315839
95000,32.0361407111,334.121134572,0.0124738315839
96000,30.7914391735,239.893712814,0.0124738315839
97000,42.1915856668,200.53192117,0.0124738315839
98000,38.291045036,265.413353533,0.0124738315839
