#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1000,26.5165520419,779.883375235,0.0124738315839
2000,49.1072374804,580.163104379,0.0124738315839
3000,56.7181044339,331.417055611,0.0124738315839
4000,38.6592805137,237.636080461,0.0124738315839
5000,35.03823525,276.000810463,0.0124738315839
6000,22.5377087806,333.274010611,0.0124738315839
7000,29.703231964,423.650514938,0.0124738315839
8000,29.6156879712,201.613373444,0.0124738315839
9000,38.7072851111,303.092097257,0.0124738315839
10000,28.2380004,249.789984513,0.0124738315839
11000,31.6712767388,194.287750498,0.0124738315839
12000,33.4785208373,214.090896628,0.0124738315839
13000,39.7497965613,394.430892806,0.0124738315839
14000,44.4195226344,177.945123257,0.0124738315839
15000,26.5355462218,191.977450905,0.0124738315839
16000,29.9981148163,265.422510187,0.0124738315839
17000,28.5817564306,270.742262406,0.0124738315839
18000,26.8021947182,391.414080172,0.0124738315839
19000,49.7723080505,219.127385153,0.0124738315839
20000,23.7700703937,320.102239328,0.0124738315839
21000,36.2903677494,291.329087696,0.0124738315839
22000,30.210881172,258.761065506,0.0124738315839
23000,37.5898854512,261.558918701,0.0124738315839
24000,26.2269624461,302.961847252,0.0124738315839
25000,46.1075964149,347.702149443,0.0124738315839
26000,23.43095701,518.009062054,0.0124738315839
27000,40.9536388,366.544963988,0.0124738315839
28000,40.6659695023,267.783701579,0.0124738315839
29000,35.4656539906,296.201921957,0.0124738315839
30000,26.5827823552,474.02500845,0.0124738315839
31000,33.8336932376,320.129162018,0.0124738315839
32000,34.6500836748,315.89232945,0.0124738315839
33000,38.0168008369,208.700574031,0.0124738315839
34000,53.0031950485,269.278708937,0.0124738315839
35000,38.6616774624,294.794606988,0.0124738315839
36000,25.1395417522,249.593944332,0.0124738315839
37000,41.097100557,244.096162207,0.0124738315839
38000,40.8859598897,295.064944109,0.0124738315839
39000,29.6561579835,389.920653937,0.0124738315839
40000,28.756066513,226.741867163,0.0124738315839
41000,39.2446336826,227.165841298,0.0124738315839
42000,37.9926718788,226.683440991,0.0124738315839
43000,44.6051522798,378.041142765,0.0124738315839
44000,41.8516415541,186.072572188,0.0124738315839
45000,33.4179144222,321.564234536,0.0124738315839
46000,40.2950892646,313.080845904,0.0124738315839
47000,52.4977217404,373.9711343,0.0124738315839
48000,46.3011411056,284.007545678,0.0124738315839
49000,28.5386901179,384.581148487,0.0124738315839
50000,27.0802397938,319.093593844,0.0124738315839
51000,30.5798099124,207.556951185,0.0124738315839
52000,39.4377533865,381.634903103,0.0124738315839
53000,39.2009905346,289.571630112,0.0124738315839
54000,16.8344346306,394.10466311,0.0124738315839
55000,40.3430918943,207.807679142,0.0124738315839
56000,58.7883477886,262.171244457,0.0124738315839
57000,30.4757995943,356.841072225,0.0124738315839
58000,43.8540645151,275.00319068,0.0124738315839
59000,34.1419319993,321.597667295,0.0124738315839
60000,38.2895801924,345.464164621,0.0124738315839
61000,49.3792063775,334.286943827,0.0124738315839
62000,41.6135755859,457.643066453,0.0124738315839
63000,39.7016779227,310.758370621,0.0124738315839
64000,28.8250778492,355.087288103,0.0124738315839
65000,41.2816089642,327.453363032,0.0124738315839
66000,29.3175418373,435.315180573,0.0124738315839
67000,30.2280201058,338.378012886,0.0124738315839
68000,47.2930847004,249.298047463,0.0124738315839
69000,44.6914451917,238.419490922,0.0124738315839
70000,27.6764581192,234.391443562,0.0124738315839
71000,34.8700723803,326.390756244,0.0124738315839
72000,36.0938423262,405.796961097,0.0124738315839
73000,36.1942628115,299.648148405,0.0124738315839
74000,34.1046635052,328.101270184,0.0124738315839
75000,56.3548467711,310.164646348,0.0124738315839
76000,33.240593683,489.805495712,0.0124738315839
77000,51.5305629692,310.771648662,0.0124738315839
78000,34.7903357556,229.974371781,0.0124738315839
79000,33.1562046527,278.352410905,0.0124738315839
80000,34.9292355025,233.379306784,0.0124738315839
81000,29.5907659634,216.272342901,0.0124738315839
82000,43.5550927771,184.028892624,0.0124738315839
83000,59.4175107072,242.252963324,0.0124738315839
84000,33.6540523943,455.398392572,0.0124738315839
85000,65.495109237,348.624557616,0.0124738315839
86000,35.5873048404,397.539990636,0.0124738315839
87000,38.7348478003,191.741884772,0.0124738315839
88000,43.649704597,229.745937481,0.0124738315839
89000,41.849673062,292.337301498,0.0124738315839
