#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1000,22.0747063436,205.52949928,0.0124738315839
2000,28.3612385766,251.363018019,0.0124738315839
3000,40.9676963478,254.137889214,0.0124738315839
4000,45.8016668897,235.455987218,0.0124738315839
5000,20.9756030909,210.621085694,0.0124738315839
6000,19.2637722675,275.849581119,0.0124738315839
7000,16.9043447612,336.291808358,0.0124738315839
8000,37.784939889,282.940352931,0.0124738315839
9000,41.9183857733,288.284473218,0.0124738315839
10000,27.8645866665,202.725934066,0.0124738315839
11000,23.9219609328,292.951500595,0.0124738315839
12000,34.1870327545,312.646376146,0.0124738315839
13000,30.7041521454,410.486977416,0.0124738315839
14000,19.5290591055,262.060439137,0.0124738315839
15000,36.5814875531,279.277362782,0.0124738315839
16000,33.7364996198,275.451749546,0.0124738315839
17000,22.5140694813,257.901146739,0.0124738315839
18000,31.4090393625,200.60145208,0.0124738315839
19000,36.4928690836,187.726994036,0.0124738315839
20000,35.0653183854,236.792336402,0.0124738315839
21000,26.453244768,452.711554669,0.0124738315839
22000,21.5307063076,247.95701346,0.0124738315839
23000,22.7446547054,315.593882504,0.0124738315839
24000,34.3644308371,415.248849734,0.0124738315839
25000,50.6336258236,331.355555129,0.0124738315839
26000,46.2221838507,335.685536726,0.0124738315839
27000,45.6468167585,443.811788127,0.0124738315839
28000,53.0370534696,336.560372853,0.0124738315839
29000,39.2298756045,360.142809709,0.0124738315839
30000,35.19142761,212.766270881,0.0124738315839
31000,40.4671969024,252.923337387,0.0124738315839
32000,31.3679211511,206.66379017,0.0124738315839
33000,36.3893381565,288.616401849,0.0124738315839
34000,41.5123623345,221.039384122,0.0124738315839
35000,32.6617974473,258.222897435,0.0124738315839
36000,19.9937326662,337.334837039,0.0124738315839
37000,33.5032185503,179.87315154,0.0124738315839
38000,32.4568154463,345.65106325,0.0124738315839
39000,42.3929808436,365.972032593,0.0124738315839
40000,55.9793938683,331.817205184,0.0124738315839
41000,41.5984898673,367.462874951,0.0124738315839
42000,41.1287479568,280.982415133,0.0124738315839
43000,44.9092624368,192.449440864,0.0124738315839
44000,29.7420079258,163.888447112,0.0124738315839
45000,37.6023675533,324.216252516,0.0124738315839
46000,37.0960000559,460.480754222,0.0124738315839
47000,44.3070534424,254.120435702,0.0124738315839
48000,42.1331837089,467.456715984,0.0124738315839
49000,79.2903834133,318.073289049,0.0124738315839
50000,32.7896590688,428.41638805,0.0124738315839
51000,49.7622040039,320.026705655,0.0124738315839
52000,43.5625697045,328.754707397,0.0124738315839
53000,43.8807354963,311.17363119,0.0124738315839
54000,32.32765679,376.463367583,0.0124738315839
55000,35.3196764087,247.817275202,0.0124738315839
56000,34.6564975503,321.303036286,0.0124738315839
57000,33.3757265996,246.036937209,0.0124738315839
58000,41.3450298282,195.96341058,0.0124738315839
59000,26.4119527788,344.442363491,0.0124738315839
60000,26.2528757081,272.807051476,0.0124738315839
61000,30.0162433806,210.269116218,0.0124738315839
62000,36.927187822,277.929075156,0.0124738315839
63000,23.3897854022,290.521243162,0.0124738315839
64000,31.2948209237,405.211902374,0.0124738315839
65000,27.2413393081,407.998087638,0.0124738315839
66000,33.0500858904,244.538246194,0.0124738315839
67000,43.4218730402,324.353153664,0.0124738315839
68000,38.9783547666,256.806416931,0.0124738315839
69000,29.4646501815,259.343569495,0.0124738315839
70000,58.8369632367,207.383845107,0.0124738315839
71000,49.2254898346,334.481952576,0.0124738315839
72000,42.7637557777,291.06469075,0.0124738315839
73000,27.4600065117,334.498887678,0.0124738315839
74000,29.3767818704,250.297219739,0.0124738315839
75000,36.0015003881,201.122238725,0.0124738315839
76000,35.6710374842,265.36408996,0.0124738315839
77000,37.382255376,298.201336336,0.0124738315839
78000,39.5465625515,369.595888611,0.0124738315839
79000,36.5692173091,352.697987039,0.0124738315839
80000,25.59073491,341.086431282,0.0124738315839
81000,36.0867717919,253.81231599,0.0124738315839
82000,27.000747744,246.638181866,0.0124738315839
83000,33.727389849,234.310506113,0.0124738315839
84000,37.2823507112,238.247496297,0.0124738315839
85000,31.6447094993,289.614269309,0.0124738315839
86000,31.5132398712,213.306170824,0.0124738315839
87000,35.838624666,265.1304731,0.0124738315839
88000,26.0011784781,281.259981653,0.0124738315839
89000,37.005601603,365.90581099,0.0124738315839
90000,26.2238737368,225.292399975,0.0124738315839
91000,35.1586486186,241.679925678,0.0124738315839
92000,35.4262163907,357.689353113,0.0124738315839
93000,34.2280119439,462.623111071,0.0124738315839
94000,41.2519786187,271.643003008,0.0124738315839
95000,44.7219508211,322.892791153,0.0124738315839
96000,39.9865915879,246.1622597,0.0124738315839
97000,29.2297313912,291.537146797,0.0124738315839
98000,47.6302846881,217.019518958,0.0124738315839
99000,37.3939535145,291.377391109,0.0124738315839
100000,34.5194229355,190.351159366,0.0124738315839
101000,37.3223368101,306.375337255,0.0124738315839
102000,47.2158742162,318.33598226,0.0124738315839
103000,32.8104629233,321.126488447,0.0124738315839
104000,43.9795519145,258.229843552,0.0124738315839
105000,40.0638022848,219.224382363,0.0124738315839
106000,28.1464548794,164.434785514,0.0124738315839
107000,33.2651767134,204.556693067,0.0124738315839
108000,47.7069667109,347.201609564,0.0124738315839
109000,39.3073244082,321.981132579,0.0124738315839
110000,41.6400184532,250.367910849,0.0124738315839
111000,27.1166727186,317.401926479,0.0124738315839
112000,25.7272074972,377.264939615,0.0124738315839
113000,32.4000648172,368.803445439,0.0124738315839
114000,40.0700855687,238.390281256,0.0124738315839
115000,21.6834283601,278.538253084,0.0124738315839
116000,19.9604031285,179.742144801,0.0124738315839
117000,36.9460998539,329.588807096,0.0124738315839
118000,21.5920342065,456.699251868,0.0124738315839
119000,30.3051077636,390.347574767,0.0124738315839
