#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1000,135.311098621,972.803448399,0.0124738315839
2000,62.2554983064,766.463958371,0.0124738315839
3000,62.6467570577,406.33625401,0.0124738315839
4000,50.4491336262,368.35359666,0.0124738315839
5000,49.965999788,505.933899392,0.0124738315839
6000,34.7946416184,396.355097111,0.0124738315839
7000,32.7101553297,285.274620286,0.0124738315839
8000,44.1806212268,343.986700983,0.0124738315839
9000,30.7839849652,368.800447869,0.0124738315839
10000,38.5415344792,314.730102122,0.0124738315839
11000,23.4834884838,260.11918393,0.0124738315839
12000,43.9050923848,165.406579046,0.0124738315839
13000,31.5732563298,294.527074907,0.0124738315839
14000,40.6296895643,339.793424877,0.0124738315839
15000,50.451411457,643.347382368,0.0124738315839
16000,77.7101057004,374.107270347,0.0124738315839
17000,33.1486470734,441.753344218,0.0124738315839
18000,28.6002375941,233.766430474,0.0124738315839
19000,22.3495800531,327.048469243,0.0124738315839
20000,25.5248764474,189.77058667,0.0124738315839
21000,40.3983599695,226.567766229,0.0124738315839
22000,33.3145525794,388.644619114,0.0124738315839
23000,26.1823374491,293.880249755,0.0124738315839
24000,22.2880638055,324.000186073,0.0124738315839
25000,39.0622971661,326.563631848,0.0124738315839
26000,52.0847324695,287.164129177,0.0124738315839
27000,34.8956941385,275.69514386,0.0124738315839
28000,29.6620634953,248.871502422,0.0124738315839
29000,33.2505929086,280.468827981,0.0124738315839
30000,23.1286005832,318.504893366,0.0124738315839
31000,25.6720914167,272.212598794,0.0124738315839
32000,60.8410574725,168.513238608,0.0124738315839
33000,26.7090525099,348.187187759,0.0124738315839
34000,31.6724262965,281.194497873,0.0124738315839
35000,29.4361313992,350.455429144,0.0124738315839
36000,33.0900413261,273.217923193,0.0124738315839
37000,28.1884292083,416.530653791,0.0124738315839
38000,25.4410979238,329.787693996,0.0124738315839
39000,28.7238149188,236.930116461,0.0124738315839
40000,27.0640204583,349.33600047,0.0124738315839
41000,25.3233063506,302.029728567,0.0124738315839
42000,24.7352455581,281.635954079,0.0124738315839
43000,37.5627014903,223.46821701,0.0124738315839
44000,34.1797091416,275.46911316,0.0124738315839
45000,34.9224823555,206.838563222,0.0124738315839
46000,25.5913787546,362.520884229,0.0124738315839
47000,36.4202133832,281.045404241,0.0124738315839
48000,46.121516235,300.031688001,0.0124738315839
49000,30.2038071157,237.78512806,0.0124738315839
50000,32.4335756596,203.614995105,0.0124738315839
51000,35.4176519114,197.080820228,0.0124738315839
52000,30.4516795134,261.447241078,0.0124738315839
53000,30.9020071686,387.318166814,0.0124738315839
54000,34.1772393872,360.545598407,0.0124738315839
55000,34.0742886718,267.184781318,0.0124738315839
56000,29.5344155009,276.899236497,0.0124738315839
57000,24.8172216686,270.798416179,0.0124738315839
58000,46.465042778,139.355741553,0.0124738315839
59000,32.505067413,212.704405021,0.0124738315839
60000,33.1039642794,352.885407913,0.0124738315839
61000,49.9072230212,248.343381242,0.0124738315839
62000,32.3693603267,272.963768912,0.0124738315839
63000,36.4181234452,333.730180329,0.0124738315839
64000,27.4186723787,275.562080026,0.0124738315839
65000,35.3783126116,292.065347785,0.0124738315839
66000,42.2866312743,281.107221696,0.0124738315839
67000,27.7129189721,302.298197698,0.0124738315839
68000,18.1259225324,364.785376889,0.0124738315839
69000,37.5053996459,257.793174037,0.0124738315839
70000,44.1673211151,189.231111632,0.0124738315839
71000,26.210682277,217.675603436,0.0124738315839
72000,37.3348250609,277.043860299,0.0124738315839
73000,42.6692559242,273.49945498,0.0124738315839
74000,38.5635938577,441.778822714,0.0124738315839
75000,40.838255323,322.592234966,0.0124738315839
76000,51.0754420328,305.45052258,0.0124738315839
77000,35.6900439663,266.467378146,0.0124738315839
78000,43.5659761925,193.292704596,0.0124738315839
79000,31.8901090717,327.574295705,0.0124738315839
80000,64.5050721592,331.97295524,0.0124738315839
81000,65.9874692272,279.151913637,0.0124738315839
82000,49.480654925,392.341761441,0.0124738315839
83000,36.6092649339,336.571035403,0.0124738315839
84000,37.967131901,417.457710466,0.0124738315839
85000,25.0393847447,296.188917252,0.0124738315839
86000,24.3451094538,207.534228939,0.0124738315839
87000,47.2606741186,197.834454569,0.0124738315839
88000,30.8272628079,408.595688111,0.0124738315839
89000,30.8410164546,595.928392018,0.0124738315839
90000,32.588932049,529.314544431,0.0124738315839
91000,36.6106543217,458.212573434,0.0124738315839
92000,55.5805353141,249.73736773,0.0124738315839
93000,41.1150344747,329.151694373,0.0124738315839
94000,41.2055544174,440.006182756,0.0124738315839
95000,41.1472882363,395.072234944,0.0124738315839
96000,32.4621929024,385.67602795,0.0124738315839
97000,42.5686392794,288.938191494,0.0124738315839
98000,63.6733458026,326.398146382,0.0124738315839
99000,28.3638549284,338.019490603,0.0124738315839
100000,43.8898008888,360.600332987,0.0124738315839
101000,43.728417596,327.14595178,0.0124738315839
102000,31.654056878,218.585374608,0.0124738315839
103000,33.2023351143,305.083607783,0.0124738315839
104000,48.2746573856,299.412169149,0.0124738315839
105000,38.3701602535,385.376786745,0.0124738315839
106000,30.2127603264,431.866807481,0.0124738315839
107000,31.5965999883,284.084739129,0.0124738315839
108000,33.3316622251,284.801843161,0.0124738315839
109000,46.9594326174,377.282097437,0.0124738315839
110000,35.4659158363,373.105283852,0.0124738315839
111000,24.4402778933,237.394346751,0.0124738315839
112000,46.0138641654,236.418125721,0.0124738315839
113000,39.8136421498,327.895081878,0.0124738315839
