#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1000,241.287980727,315.518061957,0.0186973163154
2000,252.424794126,206.547150663,0.0186973163154
3000,247.154810929,277.185265315,0.0186973163154
4000,259.26133757,175.414748412,0.0186973163154
5000,241.427294366,441.470635737,0.0186973163154
6000,246.813179483,321.13984155,0.0186973163154
7000,240.661279956,345.426979326,0.0186973163154
8000,252.46537983,352.04544763,0.0186973163154
9000,248.610595042,333.123131277,0.0186973163154
10000,255.373392464,328.624795303,0.0186973163154
11000,245.663377636,323.390663873,0.0186973163154
12000,247.308691257,144.059292066,0.0186973163154
13000,249.051041124,280.341927057,0.0186973163154
14000,247.765935032,373.986991167,0.0186973163154
15000,248.489828369,318.420204451,0.0186973163154
16000,241.238329363,342.110031731,0.0186973163154
17000,244.896412549,302.803525231,0.0186973163154
18000,264.977703413,338.427835168,0.0186973163154
19000,249.529110901,348.793490908,0.0186973163154
20000,283.067445035,276.828274431,0.0186973163154
21000,254.829166404,286.40543129,0.0186973163154
22000,259.883196912,312.824177221,0.0186973163154
23000,249.631420542,302.202342537,0.0186973163154
24000,235.957273278,297.397356509,0.0186973163154
25000,265.189557861,345.840952255,0.0186973163154
26000,262.181601482,394.285361711,0.0186973163154
27000,242.4205063,166.94246871,0.0186973163154
28000,252.079383462,336.272683096,0.0186973163154
29000,248.160439081,305.258792902,0.0186973163154
30000,249.860264012,345.226227132,0.0186973163154
31000,255.865256865,279.652250355,0.0186973163154
32000,253.226309689,230.52262901,0.0186973163154
33000,251.930957066,337.283058911,0.0186973163154
34000,266.928438182,230.898905503,0.0186973163154
35000,257.28293258,352.78878039,0.0186973163154
36000,253.097996605,329.4657331,0.0186973163154
37000,264.707420217,179.875335436,0.0186973163154
38000,249.329299487,308.643064197,0.0186973163154
39000,241.655136803,289.317129549,0.0186973163154
40000,236.100969347,319.312966986,0.0186973163154
41000,236.539737074,354.890958333,0.0186973163154
42000,230.953616444,219.917010729,0.0186973163154
43000,238.039604591,201.27081662,0.0186973163154
44000,259.037281453,271.213803099,0.0186973163154
45000,256.241726512,261.953191269,0.0186973163154
46000,249.52924272,372.122403941,0.0186973163154
47000,256.32780159,413.367843609,0.0186973163154
48000,257.920048498,313.089764991,0.0186973163154
49000,245.423244964,246.174691492,0.0186973163154
50000,253.49533261,213.345942892,0.0186973163154
