#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1000,-13.9035756601,255.309907866,0.0124738315839
2000,-10.198402444,263.080909195,0.0124738315839
3000,-2.18349480026,443.418999823,0.0124738315839
4000,17.4171326802,244.534120758,0.0124738315839
5000,2.23636484128,379.108584577,0.0124738315839
6000,2.88592548429,324.279875524,0.0124738315839
7000,11.9505699644,278.76590006,0.0124738315839
8000,5.29737583973,219.13154419,0.0124738315839
9000,-1.03717431521,184.715584216,0.0124738315839
10000,-2.54953201929,171.174064739,0.0124738315839
11000,6.60427851023,207.188993772,0.0124738315839
12000,14.5809334462,272.057866937,0.0124738315839
13000,6.51172318267,235.21179682,0.0124738315839
14000,4.94183123463,275.003193301,0.0124738315839
15000,11.457306836,256.168593002,0.0124738315839
16000,-3.37754831256,488.024313351,0.0124738315839
17000,26.8258141912,261.355536924,0.0124738315839
18000,15.0104577875,228.398307218,0.0124738315839
19000,11.6350886246,199.352652402,0.0124738315839
20000,-0.894061503824,210.422867882,0.0124738315839
21000,1.69281749945,142.683901675,0.0124738315839
22000,-4.60001174739,243.540752156,0.0124738315839
23000,28.639574779,320.881243629,0.0124738315839
24000,12.7505112852,274.028877751,0.0124738315839
25000,3.27605927093,330.874384118,0.0124738315839
26000,4.32498815744,254.206777181,0.0124738315839
27000,-7.40145006006,272.598385674,0.0124738315839
28000,-3.00099686137,189.19468727,0.0124738315839
29000,10.3325050778,250.201388257,0.0124738315839
30000,13.0780906785,320.530130193,0.0124738315839
31000,17.0156738031,283.69850636,0.0124738315839
32000,9.99651565639,336.96583091,0.0124738315839
33000,4.2128232458,278.478347879,0.0124738315839
34000,-3.37445372332,412.324442315,0.0124738315839
35000,-4.77080000043,337.627980901,0.0124738315839
36000,-3.80466765931,312.868689955,0.0124738315839
37000,1.13734354592,226.760689973,0.0124738315839
38000,6.82054165805,234.017670783,0.0124738315839
39000,12.5868767469,319.269223298,0.0124738315839
40000,15.1135150298,299.546639444,0.0124738315839
41000,0.556476039233,325.803684652,0.0124738315839
42000,17.0975169542,271.096144465,0.0124738315839
43000,2.26224350449,317.217235562,0.0124738315839
44000,10.3849988197,466.058586225,0.0124738315839
45000,52.9727095759,480.22676491,0.0124738315839
46000,19.5019104808,495.100387953,0.0124738315839
47000,36.9044716097,337.664410175,0.0124738315839
48000,2.64077274678,378.874688852,0.0124738315839
49000,9.17255756981,336.90281512,0.0124738315839
50000,11.1281903554,502.670587725,0.0124738315839
51000,23.3794647555,374.465222973,0.0124738315839
52000,4.64830892829,333.342831969,0.0124738315839
53000,14.070250543,237.997141818,0.0124738315839
54000,23.4852903041,252.541917782,0.0124738315839
55000,4.92946509563,151.480505091,0.0124738315839
56000,7.01427413174,241.853780002,0.0124738315839
57000,8.37977507709,398.991935214,0.0124738315839
58000,15.2538924641,437.341396443,0.0124738315839
59000,-5.54240862872,318.951312127,0.0124738315839
60000,-6.38267645737,287.130615473,0.0124738315839
61000,-0.65214606332,238.8202198,0.0124738315839
62000,10.3315596121,243.050635839,0.0124738315839
63000,-5.41255975915,327.985196402,0.0124738315839
64000,7.30711567969,277.041729752,0.0124738315839
65000,-0.134552315475,319.166242378,0.0124738315839
66000,-12.1647593073,267.16106307,0.0124738315839
67000,5.21558332033,222.924808835,0.0124738315839
68000,0.802844321329,292.390191409,0.0124738315839
69000,7.07822414822,291.689509944,0.0124738315839
70000,10.1961375339,233.151669335,0.0124738315839
71000,-1.33077183395,160.340975764,0.0124738315839
72000,7.39346634727,173.074866659,0.0124738315839
73000,14.0304527128,205.585434936,0.0124738315839
74000,-0.447641709047,372.67697172,0.0124738315839
75000,5.79997221859,278.34000813,0.0124738315839
76000,26.5402893616,231.421402108,0.0124738315839
77000,10.4358248821,379.696628155,0.0124738315839
78000,-7.79682710976,370.628058626,0.0124738315839
79000,8.07121757948,189.592844467,0.0124738315839
80000,4.865501387,253.505845561,0.0124738315839
81000,-1.93923639707,254.174225312,0.0124738315839
82000,-0.614007217478,237.31858092,0.0124738315839
83000,-9.26124250507,155.935911207,0.0124738315839
84000,-0.401722485529,404.000478227,0.0124738315839
85000,-4.25638066839,387.550430233,0.0124738315839
86000,10.1298918342,295.406021268,0.0124738315839
87000,-2.79331187665,259.806524134,0.0124738315839
88000,14.1777353739,331.438059781,0.0124738315839
89000,21.3903851617,232.236440837,0.0124738315839
90000,4.80763287932,338.12575912,0.0124738315839
91000,14.1890370462,359.97084523,0.0124738315839
92000,14.662882504,243.740148874,0.0124738315839
93000,6.00207524139,332.766457487,0.0124738315839
94000,4.39114131322,334.444793142,0.0124738315839
95000,12.80612759,245.270452716,0.0124738315839
96000,1.69639328883,313.474125095,0.0124738315839
97000,-1.19415907287,283.204451517,0.0124738315839
98000,14.4070520756,256.723372566,0.0124738315839
99000,-0.508801322259,252.247912996,0.0124738315839
100000,-11.8523393927,313.860116974,0.0124738315839
101000,-1.5373573373,248.064454188,0.0124738315839
102000,1.48468838903,239.729382006,0.0124738315839
103000,-6.99429111364,197.48267649,0.0124738315839
104000,-0.342207867816,367.940120122,0.0124738315839
105000,21.084901638,208.303120838,0.0124738315839
106000,2.95599983153,240.535290943,0.0124738315839
107000,29.384268028,222.931280885,0.0124738315839
108000,36.5390063675,426.787963104,0.0124738315839
109000,8.64801483189,477.048664862,0.0124738315839
110000,10.0072191596,299.520501326,0.0124738315839
111000,19.9530892359,277.274310371,0.0124738315839
112000,0.952414391932,338.092346278,0.0124738315839
113000,14.0967721098,266.654953565,0.0124738315839
114000,19.0366452322,327.556335712,0.0124738315839
115000,13.906963912,310.254087088,0.0124738315839
116000,15.7126160471,330.26053952,0.0124738315839
117000,5.20179596594,283.297494974,0.0124738315839
118000,20.5449418724,252.143659271,0.0124738315839
119000,19.2279200338,220.938327482,0.0124738315839
120000,-8.02149493432,343.507441948,0.0124738315839
121000,11.7135866249,215.166530673,0.0124738315839
122000,-3.30609498234,344.432319246,0.0124738315839
123000,1.19950412235,378.187542884,0.0124738315839
124000,-3.15571630946,471.673990486,0.0124738315839
125000,2.1465572653,276.197092532,0.0124738315839
126000,14.8567912972,388.375992932,0.0124738315839
127000,18.857016498,266.321834065,0.0124738315839
128000,9.73288968182,256.861442912,0.0124738315839
129000,-0.136252061891,221.658897033,0.0124738315839
130000,-10.5900629677,277.737316957,0.0124738315839
131000,-11.7763028253,307.188699068,0.0124738315839
132000,2.64011369945,239.026207554,0.0124738315839
133000,-0.454877257426,292.89966447,0.0124738315839
134000,5.28794840941,252.326514646,0.0124738315839
135000,-5.71996779616,290.984170295,0.0124738315839
136000,-0.838700839564,407.193560334,0.0124738315839
137000,-10.8163463839,371.522198634,0.0124738315839
138000,-13.7200526933,289.87855149,0.0124738315839
139000,4.33792627497,285.289547868,0.0124738315839
140000,19.8444284256,273.89841781,0.0124738315839
141000,24.3473885459,288.598642456,0.0124738315839
142000,-0.503303160517,167.249892193,0.0124738315839
143000,-9.57835103769,264.392453772,0.0124738315839
144000,-3.9621851751,205.605156304,0.0124738315839
145000,-4.8744717199,415.529495518,0.0124738315839
146000,24.7301371632,229.467276193,0.0124738315839
147000,19.1201372475,351.007642922,0.0124738315839
148000,5.53933747162,389.872846515,0.0124738315839
149000,0.492107985068,261.463986691,0.0124738315839
150000,9.30012471773,341.140777565,0.0124738315839
151000,6.71058649555,367.16144679,0.0124738315839
152000,-2.0089059451,257.232117339,0.0124738315839
153000,0.106241691453,348.078255519,0.0124738315839
154000,13.6943311186,227.523559638,0.0124738315839
155000,-5.34961439464,286.823481879,0.0124738315839
156000,4.7561001348,177.512085521,0.0124738315839
157000,16.4475370874,264.605955911,0.0124738315839
158000,0.531012042167,279.358145443,0.0124738315839
159000,15.1422722639,419.715661238,0.0124738315839
160000,5.5731193281,355.52008384,0.0124738315839
161000,3.65444834995,308.701265585,0.0124738315839
162000,14.5899896421,230.041232295,0.0124738315839
163000,-1.78014483581,247.627130878,0.0124738315839
164000,1.64256999769,191.706213686,0.0124738315839
165000,21.5119938,194.382572182,0.0124738315839
166000,8.40192679872,360.982949561,0.0124738315839
167000,20.4156868648,422.148509864,0.0124738315839
168000,12.7456776427,381.206032285,0.0124738315839
169000,21.9695035108,333.362939303,0.0124738315839
170000,6.18818756025,330.182735035,0.0124738315839
171000,9.67082294673,228.744833206,0.0124738315839
172000,11.4769748531,306.336142396,0.0124738315839
173000,8.51717109912,337.052237111,0.0124738315839
174000,23.9953215465,286.164221409,0.0124738315839
175000,14.3095972089,204.767929368,0.0124738315839
176000,13.1822800241,306.621920804,0.0124738315839
177000,13.0449945948,258.254742781,0.0124738315839
178000,-6.32685867923,222.449002517,0.0124738315839
179000,2.69329905462,237.363248326,0.0124738315839
180000,-0.37569732896,281.447200728,0.0124738315839
181000,0.491169350966,372.951151691,0.0124738315839
182000,-4.08877348869,291.117984674,0.0124738315839
183000,-0.306909340961,253.240353732,0.0124738315839
184000,9.88804668621,239.877432139,0.0124738315839
185000,-16.3189458352,318.953140422,0.0124738315839
186000,29.9577651264,230.787845081,0.0124738315839
187000,4.50651414161,308.438805394,0.0124738315839
188000,-4.7263058408,332.69176748,0.0124738315839
189000,-3.22024575769,157.142435392,0.0124738315839
190000,0.480418909258,254.675294487,0.0124738315839
191000,2.80212161955,329.158067607,0.0124738315839
192000,2.97708447912,284.355230007,0.0124738315839
193000,3.71905080755,386.100937535,0.0124738315839
194000,0.620661864589,241.08927387,0.0124738315839
195000,9.60431910576,249.660419148,0.0124738315839
196000,-5.62766956339,215.932212918,0.0124738315839
197000,0.713139325303,264.056241342,0.0124738315839
198000,2.14153502455,211.072839158,0.0124738315839
199000,-1.99942040627,429.909193657,0.0124738315839
200000,4.02718297761,316.013521633,0.0124738315839
201000,21.4712540479,227.298178699,0.0124738315839
202000,7.55377827301,217.633695451,0.0124738315839
203000,3.24495011878,408.609840806,0.0124738315839
204000,1.78626341935,246.014136284,0.0124738315839
205000,20.6878226387,209.580909497,0.0124738315839
206000,1.84896631119,448.585014656,0.0124738315839
207000,0.462512656507,396.224191828,0.0124738315839
208000,0.924781913812,345.423437504,0.0124738315839
209000,10.671521412,377.806200674,0.0124738315839
210000,-9.37343216979,249.288784299,0.0124738315839
211000,-2.28745399022,241.333248773,0.0124738315839
212000,-6.34767769644,292.037889138,0.0124738315839
213000,4.3350266427,284.703582094,0.0124738315839
214000,10.5680850349,368.296963063,0.0124738315839
215000,14.0657613877,319.439360172,0.0124738315839
216000,-5.84973158719,385.00022776,0.0124738315839
217000,-2.43672713309,197.335824386,0.0124738315839
218000,-3.44988894054,430.139672508,0.0124738315839
219000,2.23246466941,350.29336912,0.0124738315839
220000,5.67271537785,296.948032168,0.0124738315839
221000,6.22771948662,347.574419917,0.0124738315839
222000,7.19143809724,392.793622126,0.0124738315839
223000,6.0617802463,253.648562673,0.0124738315839
224000,3.6156608132,199.186476542,0.0124738315839
225000,4.32887804931,218.950718238,0.0124738315839
226000,6.82848905933,286.71741263,0.0124738315839
227000,-2.65949335643,223.288272597,0.0124738315839
228000,4.07430477037,286.985811742,0.0124738315839
229000,-3.4674925775,174.0559564,0.0124738315839
230000,-4.34471878627,275.409105844,0.0124738315839
231000,26.8022182883,292.505670609,0.0124738315839
232000,10.4260572431,447.405540782,0.0124738315839
233000,18.1026251099,384.491078823,0.0124738315839
234000,33.4141136709,329.339945045,0.0124738315839
235000,-10.1035599962,381.604428489,0.0124738315839
236000,8.00214592761,307.139317646,0.0124738315839
237000,22.143456299,240.56546033,0.0124738315839
238000,11.9585500116,397.016121305,0.0124738315839
239000,8.56407896465,253.063619597,0.0124738315839
240000,-11.0766594038,197.087072182,0.0124738315839
241000,1.90261419401,285.038308949,0.0124738315839
242000,16.0086558669,308.037307937,0.0124738315839
243000,10.824655344,261.501293161,0.0124738315839
244000,4.5424902974,282.46028568,0.0124738315839
245000,8.70477475313,392.58515756,0.0124738315839
246000,5.0125657666,315.426828441,0.0124738315839
247000,0.468001905849,213.580493283,0.0124738315839
248000,-2.52785865914,214.692312975,0.0124738315839
249000,-2.17835408005,318.6193929,0.0124738315839
250000,2.48579973338,377.888855989,0.0124738315839
251000,6.49657757401,292.181461607,0.0124738315839
252000,15.6806125924,193.250290005,0.0124738315839
253000,0.164031029315,387.952452303,0.0124738315839
254000,11.706621559,282.51680183,0.0124738315839
255000,-3.06772254916,280.280827561,0.0124738315839
256000,-1.72578251444,308.953181685,0.0124738315839
257000,2.529881263,229.539424051,0.0124738315839
258000,3.72708768409,261.050343316,0.0124738315839
259000,10.1811525789,310.807014817,0.0124738315839
260000,29.9861092109,254.691327807,0.0124738315839
261000,10.1825868713,512.542185209,0.0124738315839
262000,21.2967027212,290.810153223,0.0124738315839
263000,4.10456274983,263.342130724,0.0124738315839
264000,-1.77588106015,321.337034345,0.0124738315839
265000,10.499830814,429.924289552,0.0124738315839
266000,12.9327471176,394.79925185,0.0124738315839
267000,25.727743733,386.93800205,0.0124738315839
268000,-3.04100096917,442.595914782,0.0124738315839
269000,11.2086443542,255.567753427,0.0124738315839
270000,10.3329018067,239.486282653,0.0124738315839
271000,-7.6461166616,312.368123479,0.0124738315839
272000,1.67846390348,285.764984133,0.0124738315839
273000,-4.08660847402,249.211329467,0.0124738315839
274000,-1.16234117356,263.827605891,0.0124738315839
275000,15.762584308,313.776393786,0.0124738315839
276000,16.5211319002,272.222697261,0.0124738315839
277000,9.92864634844,289.341397445,0.0124738315839
278000,9.76231969106,280.515200144,0.0124738315839
279000,18.8149853773,245.009490949,0.0124738315839
280000,25.5162148249,374.286537546,0.0124738315839
281000,9.55661780762,403.914659656,0.0124738315839
282000,13.4137303865,284.168916635,0.0124738315839
283000,8.44042482924,351.117605131,0.0124738315839
284000,-2.91969392094,199.937859318,0.0124738315839
285000,-7.53796709803,235.077494292,0.0124738315839
286000,5.49964120922,299.379664632,0.0124738315839
287000,-7.12357958502,394.451212801,0.0124738315839
288000,3.24132300238,235.630048884,0.0124738315839
289000,2.7159125487,293.525562184,0.0124738315839
290000,-5.28215737793,373.793707162,0.0124738315839
291000,21.5095089406,365.090898784,0.0124738315839
292000,20.3828331421,264.616196976,0.0124738315839
293000,20.2891683402,396.844152936,0.0124738315839
294000,16.3248869055,292.521898909,0.0124738315839
295000,-0.730723901265,274.481611394,0.0124738315839
296000,0.283154555632,441.585529717,0.0124738315839
297000,-0.614894809374,459.816714339,0.0124738315839
298000,10.5812605077,389.981601125,0.0124738315839
299000,15.3873803176,276.161497838,0.0124738315839
300000,2.40911268268,319.310057856,0.0124738315839
301000,8.69727824183,249.369835459,0.0124738315839
302000,5.0197766672,199.942242486,0.0124738315839
303000,-6.72167385364,453.6014501,0.0124738315839
304000,8.97774881285,486.351906399,0.0124738315839
305000,22.7728122443,322.646737603,0.0124738315839
306000,27.1537094951,448.790459468,0.0124738315839
307000,17.6184989645,354.065264161,0.0124738315839
308000,6.48905598634,226.54789568,0.0124738315839
309000,15.0349526606,334.659448536,0.0124738315839
310000,-4.62643057337,423.314510002,0.0124738315839
311000,3.33842746697,380.392932966,0.0124738315839
312000,27.9574219267,373.188201008,0.0124738315839
313000,27.3201080234,362.937056186,0.0124738315839
314000,3.22424038649,407.927557775,0.0124738315839
315000,2.64968998202,301.040103619,0.0124738315839
316000,1.95663649798,319.410651424,0.0124738315839
317000,-7.57429610351,296.742422738,0.0124738315839
318000,16.1483341068,251.80699966,0.0124738315839
319000,12.581815803,257.392211735,0.0124738315839
