#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1000,200.438948435,224.694999178,0.0120553978128
2000,205.519601947,505.901078012,0.0120553978128
3000,204.975618322,391.976006264,0.0120553978128
4000,209.685271718,308.966686508,0.0120553978128
5000,203.968624598,273.170065224,0.0120553978128
6000,201.428969053,235.512381701,0.0120553978128
7000,198.691711056,263.626290801,0.0120553978128
8000,209.801745927,332.710678786,0.0120553978128
9000,208.184610007,318.669740605,0.0120553978128
10000,197.038888308,304.966921865,0.0120553978128
11000,218.650995605,273.830884757,0.0120553978128
12000,210.796163146,306.320071837,0.0120553978128
13000,223.532928967,264.481319347,0.0120553978128
14000,217.266760047,379.490479757,0.0120553978128
15000,227.356752144,326.30865887,0.0120553978128
16000,224.449721397,273.955643245,0.0120553978128
17000,204.46378956,395.317482848,0.0120553978128
18000,199.773872145,363.823545808,0.0120553978128
19000,208.425622131,303.279298327,0.0120553978128
20000,203.736138987,333.303702981,0.0120553978128
21000,206.984089041,363.377637955,0.0120553978128
22000,202.430577886,349.919181103,0.0120553978128
23000,214.952837917,247.722353216,0.0120553978128
24000,198.958681646,277.566159316,0.0120553978128
25000,205.79005024,236.317401031,0.0120553978128
26000,206.482976498,325.911509179,0.0120553978128
27000,205.951648518,382.605649731,0.0120553978128
28000,206.672834649,295.183895711,0.0120553978128
29000,198.091310715,489.124061491,0.0120553978128
30000,206.964609311,533.069433012,0.0120553978128
31000,212.862263284,399.107347478,0.0120553978128
32000,209.718633696,264.151317194,0.0120553978128
33000,206.526534707,240.914109243,0.0120553978128
34000,193.783305375,235.426236211,0.0120553978128
35000,207.652468836,287.193679078,0.0120553978128
36000,203.82941251,314.821583183,0.0120553978128
37000,207.343286652,326.111742892,0.0120553978128
38000,204.062837895,418.463701918,0.0120553978128
39000,213.913250279,389.707900918,0.0120553978128
40000,223.771720623,431.17749323,0.0120553978128
41000,216.532899224,295.10593418,0.0120553978128
42000,215.979610789,300.989271041,0.0120553978128
43000,206.60862737,294.626080587,0.0120553978128
44000,198.796060414,337.143393515,0.0120553978128
45000,205.284420253,270.172295888,0.0120553978128
46000,199.154820364,287.59523566,0.0120553978128
47000,191.625937125,237.216070954,0.0120553978128
48000,215.377679104,209.577575254,0.0120553978128
49000,220.453917188,220.648850205,0.0120553978128
50000,198.481726738,346.433113027,0.0120553978128
51000,205.634452698,248.683799321,0.0120553978128
52000,214.839606535,193.981789603,0.0120553978128
53000,206.760917664,266.615607492,0.0120553978128
54000,201.932340473,151.825243064,0.0120553978128
55000,210.177729801,272.024602842,0.0120553978128
56000,195.855763066,239.736504392,0.0120553978128
57000,208.517753436,231.926573945,0.0120553978128
58000,208.443618019,322.157696905,0.0120553978128
59000,234.398579074,284.812531081,0.0120553978128
60000,202.021584549,315.996390917,0.0120553978128
61000,204.469862873,288.58144288,0.0120553978128
62000,214.405334135,178.374041993,0.0120553978128
63000,206.072320444,246.715743221,0.0120553978128
64000,203.428088254,178.211921685,0.0120553978128
65000,205.556685232,210.948777276,0.0120553978128
66000,200.360228628,436.704613496,0.0120553978128
67000,201.349160708,304.617332702,0.0120553978128
68000,196.979302979,438.927046765,0.0120553978128
69000,223.12960938,309.736569574,0.0120553978128
70000,215.894389013,251.180529115,0.0120553978128
71000,214.316228342,255.876096175,0.0120553978128
72000,205.772095598,327.5675564,0.0120553978128
73000,207.404757715,291.731376725,0.0120553978128
74000,203.074939593,353.916172598,0.0120553978128
75000,211.817815614,330.479270136,0.0120553978128
76000,200.118849051,290.523521149,0.0120553978128
77000,205.667739972,275.516400273,0.0120553978128
78000,203.930112242,221.00533286,0.0120553978128
79000,211.438748993,260.531676924,0.0120553978128
80000,207.396430548,368.334130011,0.0120553978128
81000,217.817082049,377.298761637,0.0120553978128
82000,204.932473027,255.883951303,0.0120553978128
83000,198.76276758,311.427256708,0.0120553978128
84000,206.436023442,263.290334853,0.0120553978128
85000,210.124961812,126.258583975,0.0120553978128
86000,210.204018924,360.716431473,0.0120553978128
87000,213.923582171,176.043431476,0.0120553978128
88000,209.529082964,329.094411399,0.0120553978128
89000,217.64792405,327.529664032,0.0120553978128
90000,207.605515514,270.271475048,0.0120553978128
91000,203.65433067,345.805232766,0.0120553978128
92000,205.442026551,450.996730628,0.0120553978128
93000,216.43494207,177.757502049,0.0120553978128
94000,212.125454414,327.77530942,0.0120553978128
95000,226.540187237,268.843708344,0.0120553978128
96000,210.753809569,267.126444897,0.0120553978128
97000,215.83478728,174.720348492,0.0120553978128
98000,200.916142268,196.666914019,0.0120553978128
99000,198.168429348,286.280653476,0.0120553978128
100000,201.908976855,224.0282458,0.0120553978128
101000,206.263390987,274.664314454,0.0120553978128
102000,204.085785281,279.263764428,0.0120553978128
103000,200.539734214,553.713298376,0.0120553978128
104000,207.472063957,376.278718381,0.0120553978128
105000,205.060570828,306.45269754,0.0120553978128
106000,223.803451961,383.423724739,0.0120553978128
107000,211.290710502,230.733344354,0.0120553978128
108000,219.14459457,289.329059633,0.0120553978128
109000,215.713996431,386.693151823,0.0120553978128
110000,214.311698228,219.484960068,0.0120553978128
111000,206.753361843,286.539158821,0.0120553978128
112000,221.853663444,316.528214915,0.0120553978128
113000,205.922200808,354.250512554,0.0120553978128
114000,209.975579719,292.422712412,0.0120553978128
115000,217.810520041,360.421753944,0.0120553978128
116000,211.048476234,321.030974315,0.0120553978128
117000,206.357923848,286.344179217,0.0120553978128
118000,197.235101077,229.018530517,0.0120553978128
119000,201.73581531,132.582434852,0.0120553978128
120000,202.920373528,142.376389767,0.0120553978128
121000,199.903250506,196.753646676,0.0120553978128
122000,202.092968106,185.255051726,0.0120553978128
123000,207.706627155,160.832389677,0.0120553978128
124000,208.181632806,166.492745823,0.0120553978128
125000,210.615269964,237.017389091,0.0120553978128
126000,219.432691991,150.966587688,0.0120553978128
127000,209.488033711,371.352067007,0.0120553978128
128000,212.113923955,209.17223901,0.0120553978128
129000,195.559791423,260.9716114,0.0120553978128
130000,212.421728962,256.429622176,0.0120553978128
131000,209.407027993,258.892877917,0.0120553978128
132000,208.981298687,219.917604526,0.0120553978128
133000,196.038004885,287.742759066,0.0120553978128
134000,195.069220749,475.362702741,0.0120553978128
135000,204.704447638,258.618080285,0.0120553978128
136000,192.700496876,200.629274137,0.0120553978128
137000,206.688832194,179.636186781,0.0120553978128
138000,202.50371245,252.173351614,0.0120553978128
139000,197.997706975,376.610253747,0.0120553978128
140000,198.921799503,280.076494667,0.0120553978128
141000,209.614776264,253.891307649,0.0120553978128
142000,195.691168348,377.17495395,0.0120553978128
143000,209.781756054,361.200666819,0.0120553978128
144000,209.70184512,322.494419332,0.0120553978128
145000,212.541467053,175.402452837,0.0120553978128
146000,193.319250193,195.806938542,0.0120553978128
147000,207.010129103,394.335194779,0.0120553978128
148000,198.524227966,273.308550334,0.0120553978128
149000,203.979004621,213.621879795,0.0120553978128
150000,199.640775376,333.411718519,0.0120553978128
151000,203.269743452,291.440863938,0.0120553978128
152000,214.086405411,352.403903855,0.0120553978128
153000,201.415025036,154.514607233,0.0120553978128
154000,197.152960183,237.690503207,0.0120553978128
155000,209.179257429,189.241257926,0.0120553978128
156000,193.411147876,259.105135495,0.0120553978128
157000,199.045661392,326.793270114,0.0120553978128
158000,195.51823513,191.518097846,0.0120553978128
159000,202.217859028,349.760861849,0.0120553978128
160000,200.952891328,432.747155471,0.0120553978128
161000,209.264411305,325.784781143,0.0120553978128
162000,208.862315243,312.571471136,0.0120553978128
163000,209.278888489,317.072851903,0.0120553978128
164000,198.376182191,342.46642718,0.0120553978128
165000,204.493105204,246.98307304,0.0120553978128
166000,196.060459134,315.442127403,0.0120553978128
167000,210.708036333,166.349716326,0.0120553978128
168000,209.782783743,257.164813712,0.0120553978128
169000,215.342357823,256.61754878,0.0120553978128
170000,203.021204826,306.807781733,0.0120553978128
171000,212.220199679,215.004915631,0.0120553978128
172000,203.698522549,225.600332987,0.0120553978128
173000,206.927450171,320.256452899,0.0120553978128
174000,198.994175374,324.521469275,0.0120553978128
175000,200.37145981,246.757596323,0.0120553978128
176000,195.870028659,288.514944438,0.0120553978128
177000,206.998864705,256.774484769,0.0120553978128
178000,202.670335855,316.426933183,0.0120553978128
