;A_boot_new_samp;A_expect;A_stddevaway;Anew_expect;Anew_sampled;Anew_stddevaway;E_expect;E_stddevaway;Enew_expect;Enew_stddevaway;N_subsampled;altdvarAnew_boot;altdvarAnew_boot2;altvarAnew_boot;altvarAnew_boot2;dA_boot;dA_boot_new_samp;dA_expect;dAnew_boot;dAnew_expect;dE_boot;dE_expect;dEnew_boot;dEnew_expect;dvarAnew_boot;dvarAnew_boot2;mol_name;new_param;obs_type;param_type;percent_shift;smirks;varAnew_boot;varAnew_boot2;varAnew_samp
0;1.09198733656;[ 1.09348473];[ 0.89178117];[ 1.09878839];[ 1.09209325];[ 2.88745031];[ 9.7530681];[ 0.09598673];[ 9.18408271];[ 1.34879488];[2414];[ 0.00013163];3.76073861682e-05;[ 0.00060993];[ 0.00060993];[ 0.00063274];0.000664562661635;[ 0.00060268];[ 0.0023187];[ 0.0023187];[ 0.05363509];[ 0.05118903];[ 0.05077311];[ 0.04836526];[  7.05134661e-05];[  3.60833240e-05];['Mol2_files/AlkEthOH_c1143.mol2'];[[ 0.08]];Torsion;['k1'];92.6605504587;[#6X4:1]-[#6X4:2]-[#8X2H1:3]-[#1:4];[ 0.00064733];[ 0.00082282];[ 0.00093389]
1;1.09178566988;[ 1.09348153];[ 0.88097236];[ 1.09332367];[ 1.0916729];[ 0.55370537];[ 9.75084797];[ 0.14421428];[ 9.19936184];[ 1.58294267];[2414];[ 0.00011825];3.75910387227e-05;[ 0.00078188];[ 0.00078188];[ 0.00059322];0.000640307765089;[ 0.00060644];[ 0.00298131];[ 0.00298131];[ 0.05165642];[ 0.04946526];[ 0.04829529];[ 0.04686581];[  8.61959473e-05];[  3.84570295e-05];['Mol2_files/AlkEthOH_c1143.mol2'];[[ 0.09]];Torsion;['k1'];91.7431192661;[#6X4:1]-[#6X4:2]-[#8X2H1:3]-[#1:4];[ 0.00078318];[ 0.00085688];[ 0.00092681]
2;1.09204530041;[ 1.09343046];[ 0.80398489];[ 1.09176654];[ 1.09224048];[ 0.14255538];[ 9.75388125];[ 0.08147498];[ 9.13055688];[ 0.0200034];[2414];[ 0.00011816];3.73484460235e-05;[ 0.00075357];[ 0.00075357];[ 0.00057457];0.000618401151029;[ 0.00060098];[ 0.00332461];[ 0.00332461];[ 0.05154925];[ 0.05032604];[ 0.04798443];[ 0.04734833];[ 0.00012895];[  3.75691970e-05];['Mol2_files/AlkEthOH_c1143.mol2'];[[ 0.1]];Torsion;['k1'];90.8256880734;[#6X4:1]-[#6X4:2]-[#8X2H1:3]-[#1:4];[ 0.000757];[ 0.00087676];[ 0.00093873]
3;1.09219078789;[ 1.09353285];[ 0.97622182];[ 1.09667371];[ 1.09200472];[ 1.79069912];[ 9.75602186];[ 0.03735646];[ 9.19202331];[ 1.09984459];[2414];[ 0.00010554];3.64737249147e-05;[ 0.00066307];[ 0.00066307];[ 0.00060285];0.000627877912966;[ 0.00059983];[ 0.00260736];[ 0.00260736];[ 0.04776513];[ 0.05245965];[ 0.04516712];[ 0.04927173];[ 0.00011044];[  3.35256463e-05];['Mol2_files/AlkEthOH_c1143.mol2'];[[ 0.11]];Torsion;['k1'];89.9082568807;[#6X4:1]-[#6X4:2]-[#8X2H1:3]-[#1:4];[ 0.00067208];[ 0.0008105];[ 0.00092576]
4;1.0927890585;[ 1.09340424];[ 0.7797473];[ 1.0919978];[ 1.09265186];[ 0.19537279];[ 9.76043902];[ 0.04702416];[ 9.21454843];[ 1.43092622];[2414];[ 0.00010352];3.85149673726e-05;[ 0.00074201];[ 0.00074201];[ 0.00060449];0.000634720735117;[ 0.00058604];[ 0.00334773];[ 0.00334773];[ 0.04796549];[ 0.05225942];[ 0.04354761];[ 0.04919074];[ 0.00012683];[  3.79597205e-05];['Mol2_files/AlkEthOH_c1143.mol2'];[[ 0.12]];Torsion;['k1'];88.9908256881;[#6X4:1]-[#6X4:2]-[#8X2H1:3]-[#1:4];[ 0.00074235];[ 0.00084389];[ 0.00091878]
5;1.09237312197;[ 1.09338914];[ 0.74583487];[ 1.09839063];[ 1.09250608];[ 2.58769237];[ 9.74672858];[ 0.21915069];[ 9.11465992];[ 0.73899106];[2414];[ 0.00012084];3.78464823108e-05;[ 0.00057666];[ 0.00057666];[ 0.00058781];0.000636327420204;[ 0.00059244];[ 0.00227405];[ 0.00227405];[ 0.05016102];[ 0.05134816];[ 0.04779854];[ 0.04848266];[  7.45172846e-05];[  4.07635443e-05];['Mol2_files/AlkEthOH_c1143.mol2'];[[ 0.13]];Torsion;['k1'];88.0733944954;[#6X4:1]-[#6X4:2]-[#8X2H1:3]-[#1:4];[ 0.00059544];[ 0.00087973];[ 0.00093808]
6;1.09243101131;[ 1.09341996];[ 0.77968692];[ 1.09172261];[ 1.09246749];[ 0.26991805];[ 9.75134264];[ 0.12649002];[ 9.12106416];[ 0.72194537];[2414];[ 0.00011683];3.79419758795e-05;[ 0.00070224];[ 0.00070224];[ 0.00064445];0.000615292239672;[ 0.00060625];[ 0.00275966];[ 0.00275966];[ 0.04943531];[ 0.05248575];[ 0.04585933];[ 0.04952185];[  5.66563033e-05];[  3.54506385e-05];['Mol2_files/AlkEthOH_c1143.mol2'];[[ 0.14]];Torsion;['k1'];87.1559633028;[#6X4:1]-[#6X4:2]-[#8X2H1:3]-[#1:4];[ 0.00070327];[ 0.00081734];[ 0.00089933]
7;1.09208185783;[ 1.09342238];[ 0.7831013];[ 1.10213935];[ 1.09172345];[ 3.78236886];[ 9.75509543];[ 0.05622125];[ 9.20276103];[ 0.8202984];[2415];[ 0.00011261];3.64941161921e-05;[ 0.00069364];[ 0.00069364];[ 0.00060681];0.0006726543161;[ 0.00060669];[ 0.0027538];[ 0.0027538];[ 0.05352946];[ 0.05133536];[ 0.05170842];[ 0.04829552];[ 0.00012919];[  3.88259677e-05];['Mol2_files/AlkEthOH_c1143.mol2'];[[ 0.15]];Torsion;['k1'];86.2385321101;[#6X4:1]-[#6X4:2]-[#8X2H1:3]-[#1:4];[ 0.00077089];[ 0.00088113];[ 0.0009357]
8;1.0933886789;[ 1.09338832];[ 0.7283796];[ 1.10571553];[ 1.09294728];[ 3.53420492];[ 9.74566105];[ 0.24566927];[ 9.17679909];[ 0.15363058];[2415];[ 0.00011344];3.55757256734e-05;[ 0.0008344];[ 0.0008344];[ 0.00056634];0.000564955119892;[ 0.00060551];[ 0.00361276];[ 0.00361276];[ 0.04719982];[ 0.05015081];[ 0.04501004];[ 0.04769066];[ 0.00020281];[  3.85147326e-05];['Mol2_files/AlkEthOH_c1143.mol2'];[[ 0.16]];Torsion;['k1'];85.3211009174;[#6X4:1]-[#6X4:2]-[#8X2H1:3]-[#1:4];[ 0.00097602];[ 0.00089945];[ 0.00090007]
9;1.09281098681;[ 1.09346836];[ 0.86059747];[ 1.09569846];[ 1.09251539];[ 1.57584386];[ 9.74506992];[ 0.25518738];[ 9.17975221];[ 0.08280287];[2415];[ 0.00012021];3.87285058596e-05;[ 0.0005653];[ 0.0005653];[ 0.00053721];0.000590304869598;[ 0.00060549];[ 0.00201992];[ 0.00201992];[ 0.04966441];[ 0.05059673];[ 0.04634814];[ 0.04772559];[  6.03450955e-05];[  3.44347694e-05];['Mol2_files/AlkEthOH_c1143.mol2'];[[ 0.17]];Torsion;['k1'];84.4036697248;[#6X4:1]-[#6X4:2]-[#8X2H1:3]-[#1:4];[ 0.00056839];[ 0.00086181];[ 0.0009215]
